[2022-10-03 16:32:35,015] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:32:36,204] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 16:32:36,412] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 16:32:36,634] Register - Step 04: Enter date, month , year
[2022-10-03 16:32:37,162] Register - Step 05: Enter to Email textbox with value is 'automationfc72508@fakemail.com'
[2022-10-03 16:32:37,307] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 16:32:37,377] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 16:32:37,520] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 16:32:42,683] Register - Step 09: Click to 'Register' button 
[2022-10-03 16:32:43,542] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 16:32:43,673] Login - Step 01: Navigate to Login Page 
[2022-10-03 16:32:45,043] Login - Step 02: Enter to Email textbox with value is 'automationfc72508@fakemail.com' 
[2022-10-03 16:32:45,334] Login - Step 03: Enter to Password textbox 
[2022-10-03 16:32:45,474] Login - Step 04: Click to Login button 
[2022-10-03 16:32:46,286] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 16:32:46,378] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 16:32:46,920] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 16:32:46,994] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 16:32:47,052] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 16:32:47,113] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 16:33:30,919] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:33:32,892] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 16:33:33,066] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 16:33:33,224] Register - Step 04: Enter date, month , year
[2022-10-03 16:33:33,673] Register - Step 05: Enter to Email textbox with value is 'automationfc62681@fakemail.com'
[2022-10-03 16:33:33,853] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 16:33:33,918] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 16:33:34,075] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 16:33:39,225] Register - Step 09: Click to 'Register' button 
[2022-10-03 16:33:40,122] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 16:33:40,266] Login - Step 01: Navigate to Login Page 
[2022-10-03 16:33:41,625] Login - Step 02: Enter to Email textbox with value is 'automationfc62681@fakemail.com' 
[2022-10-03 16:33:41,799] Login - Step 03: Enter to Password textbox 
[2022-10-03 16:33:41,939] Login - Step 04: Click to Login button 
[2022-10-03 16:33:42,718] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 16:33:42,791] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 16:33:43,300] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 16:33:43,379] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 16:33:43,437] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 16:33:43,499] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 16:37:53,066] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:37:54,299] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 16:37:54,474] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 16:37:54,620] Register - Step 04: Enter date, month , year
[2022-10-03 16:37:55,063] Register - Step 05: Enter to Email textbox with value is 'automationfc41249@fakemail.com'
[2022-10-03 16:37:55,206] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 16:37:55,289] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 16:37:55,436] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 16:38:00,607] Register - Step 09: Click to 'Register' button 
[2022-10-03 16:38:01,876] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 16:38:02,162] Login - Step 01: Navigate to Login Page 
[2022-10-03 16:38:03,702] Login - Step 02: Enter to Email textbox with value is 'automationfc41249@fakemail.com' 
[2022-10-03 16:38:03,844] Login - Step 03: Enter to Password textbox 
[2022-10-03 16:38:03,978] Login - Step 04: Click to Login button 
[2022-10-03 16:38:04,749] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 16:38:04,823] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 16:38:05,484] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 16:38:05,555] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 16:38:05,615] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 16:38:05,681] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 16:41:12,572] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:41:14,198] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 16:41:14,350] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 16:41:14,491] Register - Step 04: Enter date, month , year
[2022-10-03 16:41:14,940] Register - Step 05: Enter to Email textbox with value is 'automationfc2869@fakemail.com'
[2022-10-03 16:41:15,088] Register - Step 06: Tick to checkbox Newsletter
[2022-10-03 16:41:15,181] Register - Step 07: Enter to Password textbox with value is '123456'
[2022-10-03 16:41:15,324] Register - Step 08: Enter to Confirmpassword textbox with value is '123456'
[2022-10-03 16:41:20,493] Register - Step 09: Click to 'Register' button 
[2022-10-03 16:41:21,413] Register - Step 10:  Verify Register success message is displayed
[2022-10-03 16:41:21,647] Login - Step 01: Navigate to Login Page 
[2022-10-03 16:41:23,203] Login - Step 02: Enter to Email textbox with value is 'automationfc2869@fakemail.com' 
[2022-10-03 16:41:23,354] Login - Step 03: Enter to Password textbox 
[2022-10-03 16:41:23,513] Login - Step 04: Click to Login button 
[2022-10-03 16:41:24,359] Login - Step 05: Verify 'My Account' link is displayed 
[2022-10-03 16:41:24,443] My Account - Step 01: Navigate to 'My Account' page 
[2022-10-03 16:41:25,128] My Account - Step 02: Verify 'Customer Infor' page is displayed 
[2022-10-03 16:41:25,218] My Account - Step 03: Verify 'First Name ' value is displayed 
[2022-10-03 16:41:25,273] My Account - Step 04: Verify 'Last Name ' value is displayed 
[2022-10-03 16:41:25,334] My Account - Step 05: Verify 'Email ' value is displayed 
[2022-10-03 16:59:46,244] Register - Step 01: Navigate to 'Register' page
[2022-10-03 16:59:47,720] Register - Step 02: Enter to Firstname textbox with value is 'Automation'
[2022-10-03 16:59:47,836] Register - Step 03: Enter to Lastname textbox with value is 'FC'
[2022-10-03 16:59:47,920] Register - Step 04: Enter date, month , year
[2022-10-03 16:59:48,897] Register - Step 05: Enter to Email textbox with value is 'automationfc8994@fakemail.com'
[2022-10-03 16:59:49,004] Register - Step 06: Tick to checkbox Newsletter
